"time","chain1/permissions.db","chain1/wallet/txs.db","chain1/wallet","chain1/blocks/index","chain1/blocks","chain1/database","chain1/entities.db","chain1/chunks/chunks.db","chain1/chunks/data/stream-8b716d263d7e47558fc5a4a9bab2a5bb","chain1/chunks/data/stream-a2188f9ed785b516c3541eb785603085","chain1/chunks/data/stream-35a1ee2c51d2160356fd7bbea6bc4089","chain1/chunks/data/source","chain1/chunks/data","chain1/chunks/collect.db","chain1/chunks","chain1/chainstate","chain1"
"240.27927494049072","36.0","68.0","4360.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","22052.0"
"245.15252542495728","36.0","68.0","4488.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","22180.0"
"250.08290123939514","36.0","68.0","4488.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","22184.0"
"255.30395817756653","36.0","72.0","4628.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","22320.0"
"260.04613304138184","36.0","72.0","4756.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","22448.0"
"265.3039932250977","36.0","72.0","4756.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","22448.0"
"270.0930457115173","36.0","76.0","4892.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","22584.0"
"275.3051853179932","36.0","76.0","5020.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","22716.0"
"280.0650839805603","36.0","76.0","5020.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","22716.0"
"285.3486623764038","36.0","76.0","5020.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","22716.0"
"290.1025767326355","36.0","76.0","5276.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","22972.0"
"295.33869624137884","36.0","76.0","5276.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","22972.0"
"300.0911281108856","36.0","76.0","5408.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","23104.0"
"305.31976270675665","36.0","84.0","5540.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","23232.0"
"310.1668777465821","36.0","84.0","5540.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","23232.0"
"315.02800989151","36.0","84.0","5672.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","23364.0"
"320.29408931732183","36.0","84.0","5808.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","23500.0"
"325.08230185508734","36.0","84.0","5936.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","23628.0"
"330.3993883132934","36.0","84.0","5936.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","23628.0"
"335.1776072978973","36.0","84.0","5936.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","23628.0"
