"time","chain1/permissions.db","chain1/wallet/txs.db","chain1/wallet","chain1/blocks/index","chain1/blocks","chain1/database","chain1/entities.db","chain1/chunks/chunks.db","chain1/chunks/data/stream-8b716d263d7e47558fc5a4a9bab2a5bb","chain1/chunks/data/stream-a2188f9ed785b516c3541eb785603085","chain1/chunks/data/source","chain1/chunks/data","chain1/chunks/collect.db","chain1/chunks","chain1/chainstate","chain1"
"410.3671290874481","36.0","100.0","7176.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","24872.0"
"415.2256288528442","36.0","100.0","7444.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","25144.0"
"420.14286375045776","36.0","100.0","7444.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","25144.0"
"425.3970839977264","36.0","100.0","7572.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","25272.0"
"430.1694712638855","36.0","100.0","7572.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","25272.0"
"435.48561668396","36.0","104.0","7712.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","25416.0"
"440.3027262687683","36.0","104.0","7840.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","25544.0"
"445.1011235713959","36.0","104.0","7840.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","25544.0"
"450.08906865119934","36.0","104.0","7968.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","25672.0"
"455.4867491722107","36.0","104.0","8100.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","25804.0"
"460.263964176178","36.0","104.0","8100.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","25804.0"
"465.11731815338135","36.0","104.0","8100.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","25804.0"
"470.30279088020325","36.0","104.0","8228.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","25932.0"
"475.0247492790222","36.0","104.0","8356.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","26060.0"
"480.27043080329895","36.0","112.0","8364.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","26064.0"
"485.1203677654266","36.0","112.0","8500.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","26204.0"
"490.4039742946625","36.0","112.0","8628.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","26332.0"
"495.1521484851837","36.0","112.0","8628.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","26332.0"
"500.4359683990479","36.0","112.0","8756.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","26460.0"
"505.1784138679504","36.0","116.0","8900.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","26604.0"
"510.0203037261963","36.0","116.0","8900.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","26604.0"
"515.2719888687134","36.0","116.0","9028.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","26732.0"
"520.4839935302733","36.0","116.0","9156.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","26860.0"
"525.2719221115111","36.0","116.0","9156.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","26860.0"
